omp,1,256,10001,0.693583
omp,1,256,10001,0.693949
omp,1,256,10001,0.692492
omp,2,256,10001,0.36281
omp,2,256,10001,0.360637
omp,2,256,10001,0.362126
omp,4,256,10001,0.3282
omp,4,256,10001,0.193021
omp,4,256,10001,0.193468
omp,8,256,10001,0.123022
omp,8,256,10001,0.124079
omp,8,256,10001,0.123793
omp,1,512,10001,2.87924
omp,1,512,10001,2.87583
omp,1,512,10001,2.87369
omp,2,512,10001,1.45562
omp,2,512,10001,1.45466
omp,2,512,10001,1.45369
omp,4,512,10001,0.740848
omp,4,512,10001,0.740944
omp,4,512,10001,0.741291
omp,8,512,10001,0.408735
omp,8,512,10001,0.406865
omp,8,512,10001,0.408414
omp,1,1024,10001,11.7403
omp,1,1024,10001,11.752
omp,1,1024,10001,11.7463
omp,2,1024,10001,5.89086
omp,2,1024,10001,5.90058
omp,2,1024,10001,5.89199
omp,4,1024,10001,2.96791
omp,4,1024,10001,2.96894
omp,4,1024,10001,2.96724
omp,8,1024,10001,1.54156
omp,8,1024,10001,1.54134
omp,8,1024,10001,1.54168
omp,1,2048,10001,47.8688
omp,1,2048,10001,47.8667
omp,1,2048,10001,47.7567
omp,2,2048,10001,24.083
omp,2,2048,10001,24.001
omp,2,2048,10001,24.0419
omp,4,2048,10001,12.0949
omp,4,2048,10001,12.0762
omp,4,2048,10001,12.0724
omp,8,2048,10001,6.18864
omp,8,2048,10001,6.2206
omp,8,2048,10001,6.21043
omp,1,4096,10001,194.414
omp,1,4096,10001,194.473
